n,anio,nombre,tipo,autor,nivel,costo,idioma,por_que_segun_el_dueno,url,grupo,ficha,estado,acceso
01,2020,"The Infinite Machine (ed. en español: La máquina infinita, 2023)",Libro,Camila Russo,Principiante,Pago (~US$20-30),Inglés / Español,La mejor historia narrada del nacimiento de Ethereum: entiendes el «por qué» de los smart contracts antes de tocar la parte técnica.,https://www.harpercollins.com/products/the-infinite-machine-camila-russo,G2 Ethereum,01-the-infinite-machine.md,en estudio,
02,2020,Bankless (podcast),Podcast,Ryan Sean Adams y David Hoffman,Intermedio,Gratis (premium opcional),Inglés,Referente del ecosistema Ethereum/DeFi desde su primer episodio (mar-2020); ideal para seguir narrativas y entrevistas con fundadores. Ojo: tiene patrocinios y un sesgo pro-Ethereum.,https://www.bankless.com/podcast,"G6 Podcasts, ZK y rutas de desarrollo",02-bankless.md,en estudio,
03,2020,Finematics (serie DeFi en YouTube),YouTube,Finematics (Jakub),Principiante-Intermedio,Gratis,Inglés,"Videos animados muy claros sobre AMMs, préstamos, flash loans, MEV o rollups; su serie DeFi arrancó en 2020 con «What is DeFi?».",https://www.youtube.com/@Finematics,G3 DeFi,03-finematics.md,en estudio,
04,2020,a16z Crypto Startup School 2020,Curso en línea (videos),"a16z crypto (Chris Dixon, Ali Yahya, Dan Boneh y otros)",Intermedio,Gratis,Inglés,"14 clases sobre redes cripto, criptografía, tokenomics, seguridad y regulación impartidas por gente de primer nivel. Tómalo con la perspectiva de un fondo de capital de riesgo que invierte en el sector.",https://a16zcrypto.com/posts/article/crypto-startup-school-online/,G3 DeFi,04-a16z-crypto-startup-school-2020.md,en estudio,
05,2020,The Week On-chain (newsletter),Newsletter / Reporte de investigación,Glassnode,Intermedio-Avanzado,Gratis,Inglés,"Informe semanal (desde mar-2020) que enseña a leer métricas on-chain (MVRV, realized price, flujos a exchanges) con datos reales.",https://research.glassnode.com/tag/newsletter/,"G5 Mercado, on-chain e institucional",05-the-week-on-chain.md,estudiado,"sección (6 definiciones de métricas y 8 ediciones de ago-sep-2026, sin gráficas)"
06,2021,Decentralized Finance MOOC (Fall 2021),MOOC universitario,"UC Berkeley RDI (Dawn Song, Christine Parlour, Arthur Gervais, Dan Boneh, Andrew Miller)",Avanzado,Gratis,Inglés,"El curso académico más completo de DeFi: DEXs, préstamos, stablecoins, oráculos, MEV y seguridad, con clases y lecturas abiertas.",https://defi-learning.org/f21,G3 DeFi,06-decentralized-finance-mooc.md,en estudio,
07,2021,DeFi and the Future of Finance,Libro,"Campbell R. Harvey, Ashwin Ramachandran y Joey Santoro",Intermedio,Pago (~US$30),Inglés,Explica con rigor de finanzas (Duke) qué problemas de la banca tradicional resuelve DeFi y cuáles son sus riesgos.,https://www.wiley.com/en-us/DeFi+and+the+Future+of+Finance-p-9781119836025,G3 DeFi,07-defi-and-the-future-of-finance.md,en estudio,
08,2021,ZachXBT (cuenta de X / hilos de investigación),X (Twitter),ZachXBT (investigador on-chain),Todos los niveles,Gratis,Inglés,"Sus hilos, publicados desde 2021, destapan estafas, rug pulls y hackeos; es la mejor «vacuna» práctica contra fraudes.",https://x.com/zachxbt,"G4 Riesgo, fraude y seguridad",08-zachxbt.md,en estudio,
09,2021,The Chopping Block,Podcast,"Haseeb Qureshi, Tom Schmidt, Tarun Chitra y Robert Leshner (red Unchained)",Avanzado,Gratis,Inglés,Debate semanal entre inversionistas y fundadores sobre las noticias clave con mucha profundidad técnica y de mercado (debut: 30-dic-2021). Los anfitriones tienen inversiones en el sector.,https://unchainedcrypto.com/the-chopping-block/,"G6 Podcasts, ZK y rutas de desarrollo",09-the-chopping-block.md,en estudio,
10,2021,Speedrun Ethereum,Curso práctico / retos,Austin Griffith y BuidlGuidl,Intermedio,Gratis,Inglés,"Aprendes haciendo: construyes y despliegas dApps reales (NFT, staking, DEX) con Scaffold-ETH, reto por reto.",https://speedrunethereum.com/,"G6 Podcasts, ZK y rutas de desarrollo",10-speedrun-ethereum.md,en estudio,
11,2022,The Cryptopians,Libro,Laura Shin,Principiante,Pago (~US$20-30),Inglés,"Periodismo de investigación sobre la primera gran burbuja (Ethereum, The DAO, ICOs): enseña cómo se mezclan idealismo, codicia y riesgo.",https://www.hachettebookgroup.com/titles/laura-shin/the-cryptopians/9781541763012/,G2 Ethereum,11-the-cryptopians.md,en estudio,
12,2022,Decentralized Finance (DeFi): The Future of Finance (especialización),MOOC (Coursera),"Duke University, Campbell R. Harvey",Intermedio,Gratis como oyente; certificado de pago (Coursera),Inglés (subtítulos),"Cuatro cursos universitarios estructurados sobre infraestructura, primitivas, riesgos y oportunidades de DeFi.",https://www.coursera.org/specializations/decentralized-finance-duke,G3 DeFi,12-decentralized-finance-the-future-of-finance.md,en estudio,
13,2022,Alchemy University – Ethereum Developer Bootcamp,Curso en línea / bootcamp,Alchemy,Intermedio,Gratis,Inglés,"Bootcamp gratuito para desarrolladores (criptografía, Solidity, Hardhat, dApps) con ejercicios guiados.",https://www.alchemy.com/university,"G6 Podcasts, ZK y rutas de desarrollo",13-alchemy-university-ethereum-developer-bootcamp.md,en estudio,
14,2022,"Learn Blockchain, Solidity & Full Stack Web3 Development with JavaScript (32 h)",YouTube (curso completo),Patrick Collins / freeCodeCamp,Principiante-Intermedio (dev),Gratis,Inglés,"El curso más recomendado para empezar a programar smart contracts de cero a full-stack, con todo el código en GitHub.",https://www.youtube.com/watch?v=gyMwXuJrbJQ,"G6 Podcasts, ZK y rutas de desarrollo",14-learn-blockchain-solidity-full-stack-web3.md,en estudio,
15,2022,"Diplomado en Bitcoin (v3.0, open source)",Curso / libro de estudio,Mi Primer Bitcoin (El Salvador),Principiante,Gratis (CC BY-SA),Español,"Currículo de 10 semanas creado para escuelas públicas: dinero, historia monetaria, billeteras, autocustodia y Lightning, pensado para hispanohablantes.",https://github.com/MiPrimerBitcoin/Diplomado_v3.0,G1 Bitcoin,15-diplomado-en-bitcoin.md,en estudio,
16,2023,"Mastering Bitcoin, 3.ª edición",Libro técnico,Andreas M. Antonopoulos y David A. Harding,Avanzado,Gratis en GitHub; impreso ~US$50,Inglés,"La referencia técnica de Bitcoin actualizada con Taproot, SegWit y descriptores; lectura obligada para entender el protocolo.",https://github.com/bitcoinbook/bitcoinbook,G1 Bitcoin,16-mastering-bitcoin-3-a-edicion.md,en estudio,
17,2023,Number Go Up,Libro,Zeke Faux (Bloomberg),Principiante,Pago (~US$20-30),Inglés,"Contrapeso escéptico imprescindible: retrata FTX, Tether y las estafas del ciclo 2021-22 para que aprendas a detectar señales de alerta.",https://www.penguinrandomhouse.com/books/711959/number-go-up-by-zeke-faux/,"G4 Riesgo, fraude y seguridad",17-number-go-up.md,en estudio,
18,2023,Zero Knowledge Proofs MOOC (Spring 2023),MOOC universitario,"UC Berkeley RDI (Dan Boneh, Shafi Goldwasser, Dawn Song, Justin Thaler, Yupeng Zhang)",Experto,Gratis,Inglés,"Teoría y práctica de pruebas de conocimiento cero (SNARKs, PLONK, KZG, Circom), base de los rollups y la privacidad.",https://rdi.berkeley.edu/zk-learning/,"G6 Podcasts, ZK y rutas de desarrollo",18-zero-knowledge-proofs-mooc.md,en estudio,
19,2023,ETH Kipu – Ethereum Developer Pack,Curso en línea / comunidad,"ETH Kipu (fundación sin fines de lucro, LatAm)",Principiante-Intermedio,Gratis,Español,"Formación en Ethereum y Solidity pensada para Latinoamérica, con niveles introductorio y de desarrollador y proyecto final.",https://ethkipu.org/,"G6 Podcasts, ZK y rutas de desarrollo",19-eth-kipu-ethereum-developer-pack.md,en estudio,
20,2023,"Plan ₿ Network / Plan ₿ Academy (p. ej., BTC101 «The Bitcoin Journey»)",Plataforma de cursos,Plan ₿ Network (open source),Principiante-Avanzado,Mayormente gratis (~90% de cursos),Multilingüe (incluye Español),"Catálogo abierto de cursos de Bitcoin (autocustodia, Lightning, minería, desarrollo) con versión en español.",https://planb.academy/es,G1 Bitcoin,20-plan-network-plan-academy.md,en estudio,
21,2024,Read Write Own,Libro,Chris Dixon (a16z crypto),Principiante,Pago (~US$20-30),Inglés,Explica de forma accesible por qué las blockchains podrían cambiar el modelo de internet. Es una visión optimista escrita por un inversor del sector: léelo con espíritu crítico.,https://www.penguinrandomhouse.com/books/744504/read-write-own-by-chris-dixon/,G2 Ethereum,21-read-write-own.md,estudiado,sección (introducción + 16 extractos de a16z); grado D para tesis de inversión
22,2024,Cyfrin Updraft,Plataforma de cursos,Cyfrin (Patrick Collins y equipo),Intermedio-Avanzado,Gratis,Inglés,"La ruta gratuita más completa en 2024-26 para desarrollo en Solidity/Foundry y auditoría de seguridad, con certificaciones.",https://updraft.cyfrin.io/,"G4 Riesgo, fraude y seguridad",22-cyfrin-updraft.md,en estudio,
23,2024,Possible futures of the Ethereum protocol (serie de 6 artículos),Blog / ensayos técnicos,Vitalik Buterin,Experto,Gratis,Inglés,"El mapa oficioso de la hoja de ruta de Ethereum (Merge, Surge, Scourge, Verge, Purge, Splurge) explicado por su cofundador.",https://vitalik.eth.limo/general/2024/10/14/futures1.html,G2 Ethereum,23-possible-futures-of-the-ethereum-protocol.md,estudiado,íntegro (los 6 artículos); grado B
24,2024,EPF Study Group / Protocol Wiki,Curso (webinars) + wiki,Ethereum Foundation – Ethereum Protocol Fellowship,Experto,Gratis,Inglés,"Clases grabadas sobre los clientes de ejecución y consenso, EVM, networking y criptografía del protocolo, para quien quiere contribuir al core.",https://epf.wiki/,G2 Ethereum,24-epf-study-group-protocol-wiki.md,estudiado,"sección (~12 de 109 páginas de la wiki, sin videos); grado B en mecánica, C en vigencia (hay páginas desactualizadas)"
25,2024,Damn Vulnerable DeFi v4,Retos de seguridad (CTF),tinchoabbate / The Red Guild,Avanzado,Gratis,Inglés,"El CTF clásico de seguridad DeFi (lanzado en 2020), relanzado en jul-2024 en Foundry con nuevos retos: la mejor práctica para aprender a auditar.",https://www.damnvulnerabledefi.xyz/,"G4 Riesgo, fraude y seguridad",25-damn-vulnerable-defi-v4.md,en estudio,
26,2025,State of Crypto 2025,Reporte de investigación,"a16z crypto (Daren Matsuoka, Robert Hackett, Eddy Lazzarin y otros)",Principiante-Intermedio,Gratis,Inglés,"Radiografía anual con datos (stablecoins, ETFs, usuarios, infraestructura, IA) y un tablero interactivo. Ojo: lo publica un fondo inversor del sector.",https://a16zcrypto.com/posts/article/state-of-crypto-report-2025/,"G5 Mercado, on-chain e institucional",26-state-of-crypto-2025.md,estudiado,"íntegro (web y 54 láminas, sin el tablero interactivo)"
27,2025,"Mastering Ethereum, 2.ª edición",Libro técnico,"Carlo Parisi, Alessandro Mazza, Niccolò Pozzolini (sobre la 1.ª ed. de Antonopoulos y Wood)",Avanzado,Pago (~US$54 impreso); repositorio en GitHub,Inglés,"Actualización completa (proof of stake, DeFi, pruebas ZK) del libro técnico de referencia sobre Ethereum.",https://github.com/ethereumbook/ethereumbook,G2 Ethereum,27-mastering-ethereum-2-a-edicion.md,estudiado,"sección (caps. 13, 15 y 16 completos; 1,6,7,9,10,14 y 17 por partes); grado B. CC BY-NC-ND en sus primeros 12 meses"
28,2025,"Dinero Roto (ed. en español de Broken Money, 2023)",Libro,Lyn Alden (trad. Konsensus Network),Intermedio,Pago,Español,Explica la historia del dinero y por qué Bitcoin surge como respuesta tecnológica; por fin disponible en español (abr-2025).,https://konsensus.net/book/dinero-roto,G1 Bitcoin,28-dinero-roto.md,en estudio,
29,2025,Diplomado Bitcoin – edición 2025,Curso / libro de estudio,Mi Primer Bitcoin / My First Bitcoin,Principiante,Gratis (CC BY-SA),Español (y otros idiomas),Versión actualizada del diplomado: 10 capítulos listos para autoestudio o para enseñarlos en grupo.,https://programs.myfirstbitcoin.org/programs/bitcoin-diploma/,G1 Bitcoin,29-diplomado-bitcoin-edicion-2025.md,en estudio,
30,2025,Understanding Stablecoins (Departmental Paper 25/09),Reporte de investigación,Fondo Monetario Internacional (Tobias Adrian y otros),Intermedio-Avanzado,Gratis,Inglés,"La visión institucional más completa sobre stablecoins, el tema central de 2025: funcionamiento, riesgos y regulación.",https://www.imf.org/en/publications/departmental-papers/issues/2025/12/02/understanding-stablecoins-570602,"G5 Mercado, on-chain e institucional",30-understanding-stablecoins.md,estudiado,"íntegro (PDF oficial del FMI, 56 páginas)"
31,2026,"Zero Knowledge, Infinite Trust",Libro,"Eli Ben-Sasson (coinventor de STARKs, StarkWare) y Nathan Jeffay",Intermedio,"Pago (tapa dura, Wiley)",Inglés,Explica las pruebas de conocimiento cero y su papel en la escalabilidad y la privacidad sin requerir matemáticas avanzadas (publicado el 12-may-2026).,https://blockchainthebook.com/,"G6 Podcasts, ZK y rutas de desarrollo",31-zero-knowledge-infinite-trust.md,en estudio,
32,2026,2026 Crypto Crime Report,Reporte / guía de riesgos,Chainalysis,Principiante-Intermedio,Gratis (con registro),"Inglés (también coreano, japonés y chino)","Datos duros sobre estafas, hackeos y lavado de dinero; indispensable para entender los riesgos reales y protegerte.",https://www.chainalysis.com/reports/crypto-crime-2026/,"G4 Riesgo, fraude y seguridad",32-2026-crypto-crime-report.md,en estudio,
33,2026,Solana Development Course (Anchor + Rust nativo),Curso en línea,Cyfrin Updraft,Avanzado,Gratis,Inglés,"Curso nuevo (ene-2026) para construir programas en Solana (oráculos, AMM, subastas) y aprender sus vulnerabilidades típicas.",https://updraft.cyfrin.io/courses/solana,"G4 Riesgo, fraude y seguridad",33-solana-development-course.md,en estudio,
